Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	172604257	4541159	823668	1025039	3186	5613	870514	3094	33822	554964	876924	11007	383959	475241	1629291	34437	47711	5435372	95439	1688476	399911	48160	319432	14085	120061	344199	1468799	26393	969161	5430	44796	690700	1234174	738397	125931	458419	161419	1146883	5567	1259	55328	205856	12826	508455	5786954	688745	101667	1434868	70493	129315	19501	105797	540996	874432	1049902	57182	153554	401266	71321	831305	218614	9039	48358	897711	445764	1707426	949091	55319	510432	141917	443926	12408	1274	131914	316098	1527333	3638	4335	17885	39718	968077	3350817	468279	8436	989021	13274	63866	7940	2781	578503	350522	77537	363376	803880	44	342259	420151	26218	7978365	2336494	832298	1163980	821372	7367	302477	3115499	858650	711513	368463	3554534	308199	4007	113305	566293	648408	238768	559130	120497	263082	78811	2656	348739	32259	76309	184770	1203501	1186	722660	104878	6964	14197	105587	115984	6216	9562278	16918	5031	30564	181128	16133	1948424	636775	1221852	48723	1583	971247	756841	4937	489759	502147	193050	599702	5764	2772	164229	15606	3398405	3999	137372	4460	374805	698550	3065883	2068437	2004030	1601431	14716	1951799	600942	2320	1139120	10734963	321694	4031	31419	39616	486	53682	94580	3493	24829	153572	388250	1133078	9290	508526	186440	19733	251864	118891	2726	1004443	512309	342628	1298747	980835	2756033	859690	213310	33647	258321	368350	706499	499405	531341	530891	148339	263575	2081	46734	307814	480276	2814023	223718	759	2591	552835	5596463	111116	3866884	220108	1988254	3979	235500	1599584	6439	320040	1874477	7402	166064	529341	160252	310753
More developed regions	103417894	222847	819098	961952	1164	5563	213381	1163	25039	296802	645765	6153	326007	439683	990991	32524	6933	334414	90102	1549798	371615	43923	16958	13970	660	74601	1465450	3763	708703	509	9824	213118	13403	8979	112195	270402	80335	1062417	3836	1172	10371	4744	12725	233457	2765082	613464	18795	669664	20242	67734	19441	81728	75269	870515	978363	52528	141417	392513	14412	101245	207839	4461	27703	787138	381307	365602	900815	13187	52421	138918	153515	12406	1250	129679	311034	1105857	54	640	10366	25793	816067	2755627	226496	8364	899309	12876	49705	367	34	516166	26283	33009	323732	516519	42	300370	396033	26047	2144147	365058	697783	369128	812594	7367	192011	2716852	836038	538904	87631	3461484	212868	1148	44941	537637	291384	227384	414182	711	51619	32622	2488	328248	31864	49045	13808	240619	525	57079	104604	6496	307	15754	107129		9507280	7574	4727	28814	180895	13559	1755234	85685	62200	3064	501	26916	690917	1501	470163	241657	4586	315961	5651	277	146696	3520	786841	20	115673	2891	23660	481966	2139717	1917973	1683766	1577157	3000	1750881	558131	135	979851	6754682	13183	3361	20201	25473	413	36449	76307	3456	13123	48985	156273	1129290	8457	50158	119610	18735	251095	116752	1745	182391	399708	2	940486	434354	40725	53418	191259	1669	244052	333648	178572	434138	393149	358282	4577	32663	1919	43854	291615	432945	2689578	213024	260	1451	85864	4956087	22604	3468842	72624	920711	203	74530	1247974	1369	230113	1666044	26	149	38141	37748	85091
Less developed regions	69186363	4318312	4570	63087	2022	50	657133	1931	8783	258162	231159	4854	57952	35558	638300	1913	40778	5100958	5337	138678	28296	4237	302474	115	119401	269598	3349	22630	260458	4921	34972	477582	1220771	729418	13736	188017	81084	84466	1731	87	44957	201112	101	274998	3021872	75281	82872	765204	50251	61581	60	24069	465727	3917	71539	4654	12137	8753	56909	730060	10775	4578	20655	110573	64457	1341824	48276	42132	458011	2999	290411	2	24	2235	5064	421476	3584	3695	7519	13925	152010	595190	241783	72	89712	398	14161	7573	2747	62337	324239	44528	39644	287361	2	41889	24118	171	5834218	1971436	134515	794852	8778		110466	398647	22612	172609	280832	93050	95331	2859	68364	28656	357024	11384	144948	119786	211463	46189	168	20491	395	27264	170962	962882	661	665581	274	468	13890	89833	8855	6216	54998	9344	304	1750	233	2574	193190	551090	1159652	45659	1082	944331	65924	3436	19596	260490	188464	283741	113	2495	17533	12086	2611564	3979	21699	1569	351145	216584	926166	150464	320264	24274	11716	200918	42811	2185	159269	3980281	308511	670	11218	14143	73	17233	18273	37	11706	104587	231977	3788	833	458368	66830	998	769	2139	981	822052	112601	342626	358261	546481	2715308	806272	22051	31978	14269	34702	527927	65267	138192	172609	143762	230912	162	2880	16199	47331	124445	10694	499	1140	466971	640376	88512	398042	147484	1067543	3776	160970	351610	5070	89927	208433	7376	165915	491200	122504	225662
Least developed countries	10073307			5868			548340			696			1720	262			20661	2187			780		63138		111196			329	11264				53793	727031	13381	14652	38935	2567			28599	89399		451	203877	229		1121	8630	42350		370	456876		1804		11		247	527281	212	3258		3257		31896		331	444594		136566			689		41962			5687	13047		4319	77783		43						205272	42113							653489	103102		5473	16			3005		10722			82644	978	31		60900		7117	6378	150699	4063				10595	50109	160617		156847				76739	161		415						3556	107152	230796	1088	1055	13591	634	268	522		86443	111628			9804		35813			1097		475	1126		15801	2092		607		938		1407	291265						15		4255	2006	183541		305	453037	7890			66	51	548447	44069	251431	2251	201	2942	474706		110	1107	888	2584	32929		71059		50293		27		243	10			302	162944	104	68	29926	89156	43444		388	1646	9	3397	102055			365	63395	67639
Less developed regions, excluding least developed countries	59113056	4318312	4570	57219	2022	50	108793	1931	8783	257466	231159	4854	56232	35296	638300	1913	20117	5098771	5337	138678	27516	4237	239336	115	8205	269598	3349	22301	249194	4921	34972	477582	1166978	2387	355	173365	42149	81899	1731	87	16358	111713	101	274547	2817995	75052	82872	764083	41621	19231	60	23699	8851	3917	69735	4654	12126	8753	56662	202779	10563	1320	20655	107316	64457	1309928	48276	41801	13417	2999	153845	2	24	1546	5064	379514	3584	3695	1832	878	152010	590871	164000	72	89669	398	14161	7573	2747	62337	118967	2415	39644	287361	2	41889	24118	171	5180729	1868334	134515	789379	8762		110466	395642	22612	161887	280832	93050	12687	1881	68333	28656	296124	11384	137831	113408	60764	42126	168	20491	395	16669	120853	802265	661	508734	274	468	13890	13094	8694	6216	54583	9344	304	1750	233	2574	189634	443938	928856	44571	27	930740	65290	3168	19074	260490	102021	172113	113	2495	7729	12086	2575751	3979	21699	472	351145	216109	925040	150464	304463	22182	11716	200311	42811	1247	159269	3978874	17246	670	11218	14143	73	17233	18258	37	7451	102581	48436	3788	528	5331	58940	998	769	2073	930	273605	68532	91195	356010	546280	2712366	331566	22051	31868	13162	33814	525343	32338	138192	101550	143762	180619	162	2853	16199	47088	124435	10694	499	838	304027	640272	88444	368116	58328	1024099	3776	160582	349964	5061	86530	106378	7376	165915	490835	59109	158023
High-income countries	100404811	390840	747148	992125	135	5572	213028	2006	30998	396485	106109	6678	343049	432929	53526	33268	8654	1477782	92810	363117	375658	44309	16628	14034	651	84955	666253	3568	733817	3475	9826	203559	12806	8820	112145	270928	79875	1094408	4469	1181	10251	13946	12741	238044	5147234	680449	88981	686300	20230	67397	19443	83078	75190	530607	998919	54309	140614	376259	5914	101560	206586	4461	40828	859096	390677	1199644	901541	13152	62851	56836	282500	12408	1252	129721	307606	1185987	60	4239	10365	25790	134127	2625431	226364	8367	855695	12879	62628	436	1676	516938	25929	32744	340388	544198	44	301865	383862	25951	4964338	1518198	744179	454947	813660	7367	184690	2720760	853747	570420	274971	564311	212938	1145	75728	42141	291998	100170	493435	721	51621	51337	2488	207206	31684	49452	13807	1008788	417	57035	103926	6858	316	15753	107432	1	9514141	16770	4496	6542	87225	15790	1925909	85626	167908	2988	507	233696	703149	3554	475492	243184	4605	319805	5656	2401	145726	3513	1967438	2495	117730	2893	25895	520307	2836125	1966816	1686505	1583400	3361	1759049	89284	137	1095297	2347644	13033	3689	29770	34965	415	52217	76304	3415	13134	70957	156179	1084981	8461	50161	129221	19254	242136	80758	1745	189104	412911	7992	978812	741602	75976	342579	192573	1669	244457	334703	532977	17289	325489	406546	4577	32682	1919	44123	297976	472597	2711727	8211	753	1410	85794	1216357	81848	3560539	72495	1319237	2216	81516	99467	5746	241306	1655141	7387	34	498610	37516	84975
Middle-income countries	64042290	4150319	76520	28289	3051	41	330048	554	1702	157767	770815	1226	40596	42050	1575765	1030	39057	3956820	2178	1325359	22962	3851	240207	51	8214	259244	802546	18697	224889	207	34970	487141	1167575	4342	7617	187491	43012	49236	1098	78	35117	175193	85	269895	592456	8005	12686	744952	3921	21905	58	22349	9129	343825	47310	620	12929	25007	65245	290856	11840	1320	615	24795	55087	507724	47550	42104	440711	85081	160564		22	2068	8492	115454	946		2353	881	833950	721108	164587	69	133283	395	1223	219	1105	61565	121930	3218	18429	233362		40394	36289	267	2452348	817146	88119	709033	7696		117787	391305	3131	140132	93492	2990223	19233	2862	37577	524152	355510	138598	57501	113398	60762	26039	168	141533	575	1162	34838	194564	769	517319	952	106	550	12750	4936		47690	148	535	24022	93903	130	19296	247076	1053944	45209	1076	737551	45808	269	11639	258963	102150	192550	98	371	18496	12093	1399563	1504	19642	1556	348910	177062	227987	101621	307987	15866	11355	187852	511658	139	43823	8385959	21241	209	329	1175	71	1317	18157	78	11561	80909	85318	48097	524	5328	57219	197	9728	38067	981	419177	45431	83205	317722	239014	2680057	62507	2936	31904	12771	32626	173153	449187	205852	123977	143762	180714	162	2505	9725	7679	102286	215507	6	1083	349006	4380002	29268	274878	62860	655895	1297	153596	1498471	512	73896	218655	15	166030	30604	33228	167261
Upper-middle-income countries	33846189	2109913	75839	5996	3036	41	73222	554	1624	127894	691948	1155	21981	39497	917288	974	1137	65420	2143	988646	20105	1827	25248	50	27	258427	802426	18401	194388	207	3001	484532	4014	2278	104	156708	25890	40679	1065	11	190	2884	85	264640	206240	7431	12686	741435	3257	17674	58	13040	2653	343663	44595	345	12643	24531	56722	18225	10416	1049	615	24528	53229	169047	26575	41050	2401	72201	3357		22	1146	7546	73849	931		244	133	704976	686184	6862	60	129698	143	1221	219	4	50309	2811	510	18422	233284		15360	34952	206	148017	681899	66770	635608	7210		16164	380240	3076	114933	30865	2674644	9311	1928	10576	476273	290064	114424	44816	113266	255	6928	167	108645	557	1127	27839	13847	135	26446	950		550	438	4574		23811	148	475	23902	93903	130	8906	236416	751424	44390	21	58060	43565		8735	243161	299	23543	17	285	7346	1679	33597		18358	85	345595	166208	218370	91405	298243	15506	1173	178587	333944	139	39894	2914145	2019	209	329	1175	71	1317	18141	78	3693	39733	16594	48025	504	555	41160	118	9638	38059	683	95550	27431	1713	310343	32630	806278	18782	2804	31868	11951	29885	91408	399699	205642	44192		10858	162	2439	9711	3790	92899	185336	6	781	3260	4067528	2748	191878	7026	534503	1232	152909	1219994	387	72738	100943	15	166030	21873	32124	158104
Lower-middle-income countries	30196101	2040406	681	22293	15		256826		78	29873	78867	71	18615	2553	658477	56	37920	3891400	35	336713	2857	2024	214959	1	8187	817	120	296	30501		31969	2609	1163561	2064	7513	30783	17122	8557	33	67	34927	172309		5255	386216	574		3517	664	4231		9309	6476	162	2715	275	286	476	8523	272631	1424	271		267	1858	338677	20975	1054	438310	12880	157207			922	946	41605	15		2109	748	128974	34924	157725	9	3585	252	2		1101	11256	119119	2708	7	78		25034	1337	61	2304331	135247	21349	73425	486		101623	11065	55	25199	62627	315579	9922	934	27001	47879	65446	24174	12685	132	60507	19111	1	32888	18	35	6999	180717	634	490873	2	106		12312	362		23879		60	120			10390	10660	302520	819	1055	679491	2243	269	2904	15802	101851	169007	81	86	11150	10414	1365966	1504	1284	1471	3315	10854	9617	10216	9744	360	10182	9265	177714		3929	5471814	19222						16		7868	41176	68724	72	20	4773	16059	79	90	8	298	323627	18000	81492	7379	206384	1873779	43725	132	36	820	2741	81745	49488	210	79785	143762	169856		66	14	3889	9387	30171		302	345746	312474	26520	83000	55834	121392	65	687	278477	125	1158	117712			8731	1104	9157
Low-income countries	7732730			4267			327438			630			143	262				770			720		62597		111196			4128	2506				53793	725235	6169		38532	2461			9960	16717		451	45611	106		1121	8630	40013		370	456677		1703		11		162	438889	188	3258		3257		58		63	6870		862					41105			5167	13047		4069	77328		43						202057	40935							561508	963			16			2913		719			76028						7001	6378	150699	1435				10595	136125	149		148069				76739	161		415						3219	304073		526			562				86295	87347					31404					802	1771		8261	2092		4898		938		1360	287420								134	1706	145645		305	453037				66		396162	53891	251431	2167	219		454604		74	1093	873	36	32929		368		50179					10				118035	104		29444	84753	11097		388	1646		3397	681			127	89508	58517
