country	Life Ladder	GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Confidence in government
AFG	2.662	7.460	0.491	52.340	0.427	-0.106	0.954	0.261
ALB	4.640	9.374	0.638	69.052	0.750	-0.035	0.876	0.458
DZA	5.249	9.540	0.807	65.699	0.437	-0.195	0.700	
ARG	6.039	9.844	0.907	67.539	0.832	-0.186	0.841	0.305
ARM	4.288	9.035	0.698	65.126	0.614	-0.132	0.865	0.247
AUS	7.257	10.712	0.950	72.783	0.911	0.302	0.411	0.453
AUT	7.294	10.716	0.906	72.360	0.890	0.125	0.518	0.436
AZE	5.152	9.654	0.787	63.075	0.731	-0.247	0.653	0.767
BHR	6.227	10.687	0.876	66.124	0.906	0.121		
BGD	4.310	8.163	0.713	62.504	0.896	0.018	0.635	0.877
BLR	5.553	9.720	0.900	66.606	0.621	-0.131	0.654	0.448
BEL	6.928	10.658	0.922	72.143	0.857	0.045	0.543	0.450
BEN	4.853	7.633	0.436	51.795	0.727	-0.040	0.767	0.615
BOL	5.651	8.833	0.779	60.344	0.884	-0.116	0.819	0.428
BIH	5.090	9.372	0.775	67.994	0.564	0.090	0.923	0.126
BWA	3.505	9.684	0.768	58.013	0.817	-0.258	0.731	0.771
BRA	6.333	9.548	0.905	65.454	0.765	-0.187	0.794	0.165
BGR	5.097	9.823	0.942	66.415	0.689	-0.160	0.911	0.326
BFA	4.647	7.435	0.785	52.399	0.614	-0.051	0.727	0.541
KHM	4.586	8.203	0.765	58.631	0.964	0.087	0.821	0.752
CMR	5.074	8.128	0.695	50.140	0.767	-0.031	0.844	0.579
CAF	3.476		0.320	44.645	0.645		0.890	0.650
TCD	4.559	7.491	0.661	45.984	0.615	-0.003	0.792	0.474
CHL	6.320	10.038	0.880	69.609	0.790	-0.035	0.836	0.268
CHN	5.099	9.635	0.772	69.303	0.878	-0.195		
COL	6.157	9.491	0.909	64.136	0.838	-0.166	0.875	0.222
COG	4.884	8.560	0.655	55.289	0.778	-0.169	0.763	0.470
COD	4.311	6.625	0.670	50.788	0.704	0.096	0.809	0.478
CRI	7.225	9.671	0.922	69.867	0.936	-0.078	0.742	0.407
HRV	5.343	10.014	0.770	67.016	0.716	-0.109	0.892	0.211
CYP	6.062	10.361	0.819	72.763	0.812	0.036	0.851	0.313
CZE	6.790	10.393	0.901	71.451	0.832	-0.185	0.867	0.344
DNK	7.594	10.749	0.952	71.662	0.955	0.145	0.181	0.572
DOM	5.605	9.595	0.894	63.496	0.855	-0.127	0.760	0.460
ECU	5.840	9.223	0.849	67.342	0.879	-0.170	0.734	0.641
EGY	3.929	9.260	0.638	61.574	0.593	-0.162		
SLV	6.339	9.001	0.829	64.311	0.758	-0.180	0.778	0.270
EST	5.938	10.286	0.936	67.284	0.862	-0.110	0.668	0.406
ETH	4.180	7.439	0.734	56.728	0.717	0.012	0.757	0.768
FIN	7.788	10.612	0.964	71.697	0.962	-0.012	0.192	0.598
FRA	6.635	10.561	0.931	72.589	0.834	-0.134	0.601	0.375
GAB	4.782	9.716	0.807	57.126	0.652	-0.251	0.868	0.287
GEO	4.451	9.169	0.590	64.347	0.821	-0.231	0.590	0.296
DEU	7.074	10.711	0.892	71.079	0.841	0.135	0.414	0.623
GHA	5.481	8.327	0.669	54.866	0.783	0.085	0.839	0.670
GRC	5.148	10.118	0.753	71.780	0.438	-0.297	0.872	0.140
GTM	6.325	8.919	0.826	63.382	0.915	-0.062	0.800	0.459
GIN	4.874	7.527	0.634	51.152	0.738	0.054	0.750	0.640
HTI	3.824	7.403	0.647	53.347	0.484	0.385	0.647	0.435
HND	6.020	8.404	0.843	63.753	0.898	0.080	0.783	0.496
HKG	5.362	10.917	0.831	76.536	0.831	0.123	0.416	0.545
HUN	6.065	10.193	0.877	67.193	0.661	-0.151	0.886	0.378
ISL	7.476	10.760	0.967	72.756	0.939	0.235	0.727	0.365
IND	4.046	8.768	0.607	59.503	0.886	-0.055	0.781	0.839
IDN	5.098	9.322	0.796	60.584	0.865	0.473	0.900	0.826
IRN	4.717	9.853	0.714	65.965	0.731	0.183	0.715	
IRQ	4.462	9.623	0.695	61.046	0.628	-0.038	0.757	0.424
IRL	7.060	11.066	0.943	71.710	0.905	0.207	0.337	0.604
ISR	7.331	10.406	0.916	71.865	0.768	0.137	0.793	0.389
ITA	6.199	10.472	0.920	74.135	0.633	-0.043	0.867	0.230
CIV	5.038	8.181	0.661	46.990	0.732	-0.095	0.771	0.517
JAM	5.890	9.026	0.913	65.819	0.861	-0.131	0.883	0.348
JPN	5.911	10.568	0.882	75.317	0.849	-0.223	0.659	0.412
JOR	4.808	9.025	0.815	64.418	0.766	-0.152		
KAZ	5.882	10.072	0.914	64.200	0.745	-0.049	0.755	0.756
KEN	4.476	8.010	0.715	58.690	0.853	0.250	0.854	0.638
UNK	6.149		0.792	62.392	0.858		0.925	0.298
KWT	6.094	11.112	0.853	65.379	0.884	-0.049		
KGZ	5.630	8.112	0.883	62.900	0.859	0.167	0.874	0.562
LAO	4.623	8.709	0.707	57.870	0.891	0.076	0.592	0.840
LVA	5.978	10.133	0.895	65.109	0.700	-0.164	0.798	0.264
LBN	5.154	9.492	0.777	68.864	0.605	-0.075	0.911	0.218
LBR	4.424	6.629	0.685	52.787	0.733	0.041	0.867	0.555
LBY	5.647		0.823	61.485	0.779		0.673	
LTU	6.273	10.283	0.926	67.042	0.749	-0.182		0.321
LUX	7.061	11.465	0.905	72.201	0.903	0.030	0.330	0.739
MKD	5.234	9.504	0.800	65.876	0.752	-0.063	0.856	0.443
MDG	4.079	7.249	0.626	56.994	0.570	-0.026	0.847	0.542
MWI	3.417	7.003	0.555	54.235	0.848	0.022	0.735	0.620
MLI	4.742	7.609	0.741	49.179	0.753	-0.065	0.863	0.505
MLT	6.676	10.503	0.937	71.830	0.924	0.242	0.690	0.752
MRT	4.678	8.188	0.779	53.335	0.527	-0.135	0.777	0.292
MUS	6.174	9.915	0.910	65.589	0.912	0.074	0.818	0.615
MEX	6.410	9.742	0.800	68.098	0.861	-0.207	0.801	0.257
MDA	5.326	8.546	0.831	63.701	0.553	-0.003	0.926	0.133
