Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	247585744	4855376	1137917	1785555	2035	7589	611320	2290	49030	952965	946246	16862	520982	532718	1145889	40340	56304	7246726	95023	1473782	541558	61213	608559	15885	44041	795729	1611438	76030	1557293	4590	44992	1166722	1451286	378702	222673	1034848	325831	1313217	8921	1230	692563	226437	15944	611004	9675209	1030902	141162	2671696	115633	243502	21505	138822	841241	872057	1511294	69897	155969	856515	107608	1535315	250570	15518	69765	1402779	1105180	3200613	1509676	93098	546158	190954	753241	14692	911	207305	289031	2123574	4362	1304	64922	84396	833305	4032652	826994	10446	862150	18279	65122	10432	2123	1080720	417446	96112	472751	1244867	180	700074	587121	38634	15860056	3974873	1111953	1668072	766140	8627	338246	2872034	1072825	801380	698934	3905768	459337	4815	197827	745200	1275951	358622	773357	309073	252954	154432	3868	568406	57800	171353	331968	1795712	2830	1057333	100266	7271	13530	118570	161947	6602	12546537	20221	28944	66274	135539	16328	2852573	636107	2798323	180167	2294	1668329	962443	6252	796553	645309	353698	1180589	5364	2640	188979	20359	5922305	2561	144881	4284	843512	1430187	5423323	4258157	2209237	1867061	23506	2391558	924333	3121	3412055	10354892	513648	3435	37193	53364	432	59032	114206	2310	81065	269645	544791	931921	38164	150017	315717	23812	335780	134338	3767	1924902	862951	1418791	1289225	1625614	3732417	1876275	278250	86684	328141	648999	6238472	583704	497411	861576	37759	438492	2254	58438	360896	752714	3100282	241393	1843	3483	732235	5842594	135577	4726208	306356	2919168	3325	348569	1973283	8569	640686	2626924	7843	187287	1089146	263912	966782
AFRICA	23436088	745	700	47110		6	372174		4913	4209	501		13908	10441	42	76	1720	14213	56	1446	16578	2	576809	92	3	259	717	70592	6584	34	111	6248	1424388	352291	71425	9	120998	14991			673465	208541		1113	59028	2543		3614	77807	139779		118	667249	1695	5487		7776	3408	1917	1335065	5803	5562	13	2	16	50424	949	72246	380053	255	145395			73	2198	246483			39888	18091		121800	402277	94	18377					151	328191	54051	87	25		298	487	49	97828	19784	1705	90310	19839		7935	56634	302	5639	28504	1039	117828	3	15449	126	49	678	26712	307685	151981	25433	4	626	84	36175	314346	13384	157	953703	531	6		88460	21079	6507	522	3	407	17			18698	550237	352	174061	52	398	36237		5061	174	342977	461127	30	40	2707	2347	22877	9	91	107	185	319	8939	16695	143635		1860	4491	73	1372	3424	26908	484555	351	40			30	28		61542	51035	228866	6055	1881	58285	2248		727	71	12	1226352	146541	1394541	10711	5826	467806	1123548		83610	2385	6382	241236	824	321	5774	8	385476		972	40	7609	5371	290		1	597018	7284	3920	155944	180054	49056	71	179	503		507	256		186861	36414	193129	732605
Eastern Africa	6920965						40137						325					8695			806							4380						302220	7263		252	812			4574	5184			7043	23			71435	45221					43				154	825297	180	3705				5315			215038		76255					105958						1718	181		42														40130	141			50			1261		322			85322							8552		153				34810	212566	61	38	428					5805	6507								166305		1366		175	221					4200					2944						705		4738			180		850		461	163078										147		498							1058550	41333	1128054	113	1724		673888		88		105				239											579582			13457	160566	3319									6293	88208	82951
BDI	289810																				605																																							167768																302																																			1032																																																														64363																																												891				28008												
COM	12555																																																																											482																																			76													9651																																														850																																																			145												
DJI	112351																																																																						12323																																																																																																																									93042																																							265		
ERI	15941						346																											1046											135				192											1688											108					436																							119												351														772																	1107																															467																			2457	122	1490				208																			1524			56	526											241	324
ETH	1162576																																	40																										102		3705							206030																																																																																																								150																			442910		395202				39539																			218														145		
KEN	1084357																																	4345																										11292									2127		36889																																																																							601		68																													6330																			488470	112	92355				7614																			333789				39935												
MDG	32075																																												1979				10953																											8950																							1581																																																																																																																																						
MWI	232803																																	8250																11395										2210																																							2390																																											54183																															6576																			54	8174																											1460	9507											42362	36753
MUS	28585																	8327			118																	36							2951	23																														1505						136																	8651				50			146		9																2277		61																															187															49													124								622		27	1126						105																		454		49											
MYT	73992																																																57479																											9659																																																5318																																																																																																													
MOZ	238930																																		7263																									2504																																							2609																			8403							83050																																1374								4738																												9536																												8201											6370	27254
REU	127209																																																2215																											84056																																																16763									5059	6507																																																																																																			
RWA	441525																																	64501																										230622																																																			2581																																																																																																										92195				42776												
SYC	12791												51					220			38																								510										43																					239						85																	6482	141						122					409													801			38						554													175						136					24						705									96																				64	255		24	598										239											28			290													
SOM	41578																																																																				34		13079																																																																																																																																																																5883		
SSD	844122																																								4574	5184																		87755						5145			3318		12786																												1414												9558									153								203																								3537																																														562391																			145607																
UGA	1197162																	148			45													45345				275							423														154	211363	180								3529		1070					257						241			42														4065							418		210			43512																															30					221										691											180				316	76861																			28586		639007	62			64136																						1241	25321	994											
TZA	413309						1249																					141						175325				294											596	25017										88250																						967																	8010							575					27247							149							6907								192									14651		644													668																581												374							2967	712							88																	4857			1061		1291										8573	852
ZMB	155428						38542						274															953						3368			252	207							1045					8809										21743						170										72						289	181																4809									103			556														13988			225														1351		654								527																					7750										147										3190																								473			1335	6147	985											17768
ZWE	403866																											3286																																																																																																	107849																	94382																																																			18610																											7560												30662	
Middle Africa	3436978			71			230131						10	21							324		51442										4526	39171	63243		81828	557			652655	95814			1148					28099			2469		536		7		104	453379	2					38		61444								40643			5084			936	4119		195						10165												10		11	585		21									2786		4351	1307								78316				3149									463	1792		5987			195				13856	127512													93434			126				2712	312500								59756		36235							43			42327	8749	1279			388632			12	145	19					17346				145	7				6224			260		1907										2072	
AGO	632178																																		61880							214								7118			272							255550																															2262																																																			1676		5987																					91875								7193								53977												42266																																							2072	
CMR	508357						2613																2454															182			268771	72077								3020										4170								3433								4720			1079			300			195						4681															519													4351									8388																			162				10741	108697																															3224																																					260		837											
CAF	81598												10	21																								186				10029															7			17219	2					38										9583																											10			66																						301																			33																									136									73									43			52					19546			12	145						9					7									548											
TCD	516968																																				36938				93259									852										306																1056			349																																									1307																															3115	2977																																														363465																																			
COG	392996						41238																15194														11300				32696	10565			924										536					170368								1582								10320			3163			579																																			1167											33918				3149																																	1441							2576	25119										13265																									2437														166											
COD	824492						185205																											39062							257929									6545																																																																																																																											280052																					8749				5621																			6224																
GNQ	209611																																				798																																							4561			256																																																																									359																													1493														1279																																						
GAB	268384			71			717														324		33794										4526	109			32792	189				2929			224					10564			2197						104	5766								56283								10403						57	4119								3222														11			21									1619											35709													463											15479																126					136								4213		19746										9										19					14900				145										356											
STP	2394						358																												1363																																	146											237																																																															116																							118																																																																				
Northern Africa	2354732	555	435	28378			32		19	279	434		1272	1426	37	17	1416	1533		1072	2687		42				399		401		77	77	74	42			859	3557			13554	75745		31	5041			65	5308	2344			1500	115			96	225	115	1380	1107	1839			14	37404	945		164099	30	64022				1108	52491				33		19258	876	11	4040					11	2087	1420					487		7506	17657	579	89942	107		790	16141		2291	28415	1039	3064		15278	70			17114		53	19682				46	32	11903	32	2629				3177			74		367	17			11885	19	14	298			2875		103		487	19126			470	2298	3148						5632	1101	51		1860	1048	70		866	16361	50									48356	5534		23	307	829		70			138454	896	257735	5240	616	467494	55544			1142	2453	240796	823	134	4049						6505	3533	290			1347	1065	3572	12699	427	20076			502		38			158854	29994	30	38
DZA	239473																																																																											530						743																		1382		7256				707			2161				1144				1171			2225						838																																														767										3757										11076					30319	1527					2941																	764		1046								158854	2263		
EGY	565931	235	134	987			32		19	279	179		524	674	37	17	448	283		311	626		42				70		146		77	77	74	42			141	707			65	371		31	856			65	1013	83			256	115			96	225	115	146	337	414			14		237		2368	30	1457				278	3184				33		8609	262	11	1423					11	160	103					149		1387	3211	168	11877	107		790	4661		1286	5846	237	154		3334	70			3542		53	5591				46	32	3144	32	241				174			74		91	17			1183	19	14	298			1105		103		130	904			135	605	689						1222	423	51		446	333	70		270	8348	50									9125	473		23	70	160		70			22709	249		463	249	150486	39589			394	1521	206837	145	134	1199						872	998	53			97	191	797	3504	163	6730			126		38				6351	30	38
LBY	771146	320	301	3589							255		748	752			968	1250		761	675						329		255									2850				860			3074				4295	402			596							434	770	1425				21004	708		1983		1831				830	5027						7029	614		2617							310					338		4842	13064	411	68477				6690		1005	20408	802	335		10800				11067									7921		338				357					276				4899						1770				357	2850			335	1693	2459						4410	678			1414	715			596	7246										35474	1120			237	669					104539	647	1776	726	367	286136	14428			748	932	27762	678		2850						3084	2535	237				874	2775	7232	264	9885			376						21380		
MAR	92424			13281																	1386																													1859																1837										34844						1424									973											1694				1874											1334			1162												1574																																																			1785												4051								2024									2549								1199		1806											
SDN	623878																																								13489	74514			1111															800						13423			159748		60734																												1277												2575									1557								678																								14828																																								130		255959																							1250																
TUN	56701			10443																																	718																648													1140										8638						1453																				638				2209														9147								999				530									5803											544																															411														553						1232																			609											
ESH	5179			78																																																																								268															954	1007																																				373				542																																																			1745																																																		
Southern Africa	4112793	187	254	1155			100872		442	3748	58		12259	8993		46	301	3984	45	374	12586		449	92		254	316	66162	5085	34	34	6168	67	10819			3967	9502			185			1071	43864	2520		926	303	31854			1832	1561	3037		7673	3183	310	54161	4448					7377			893	225	5076			70	1084	12331			487	80		98416	10637	83	14100					140	170	45	87					49	48116	1986	1126	256	19672		7078	37819	302	2838	87		27428		140	56	49	655	1488	299101	1218	287		626	80	1309	101731	1419	87	165	531				15259		445		40				1694	382076	336	166407	34	198	32623		4956	169	30	27509	30	40	2235	49	16701		91	91	185	316	2572	15547	43416			2632		522	2553	5732	7854	351	40							966	4337	6053	1357	926	1419		657			29342	60409		2600	3464	151	4923		83517	970	3472	182		187	1435					40	178	1796				9864	6188	280	126908	19051	18417		178			469	251			127	102819	649612
