Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	160700028	3625571	500353	965162	2638	4193	668278	2567	27677	481201	902479	10748	343815	490466	1713251	29690	25964	5424630	89923	1739629	376006	41982	272881	42603	117872	283006	1374109	23304	750470	4242	35052	653122	1213662	543908	107754	417399	136161	1067801	4888	803	49087	266971	15628	495496	4945376	619848	98093	1216186	51284	111094	17012	85484	452575	705471	935377	48701	163271	333724	52820	529132	208517	6937	45162	674632	325586	1491202	933125	41617	325272	129661	820490	10013	764	106498	288820	1329267	3227	3748	16472	38256	954270	3280566	429046	10135	1017167	11367	54094	6880	1617	457382	365472	67065	296076	663472	39	246826	404007	21463	7233782	1952321	747809	1328704	864219	9003	289309	3266039	719840	657010	339193	3295602	267084	4237	96910	550057	546866	229047	531071	137829	548716	77236	3023	342489	29862	66542	139034	863517	1687	789125	109838	4159	12602	151363	111390	3937	6948558	12146	4719	27493	145926	11592	1737570	809063	911425	28202	1509	856024	737632	4606	417010	438343	165713	520699	5575	2655	151360	13861	3343535	2846	133346	3967	335961	508104	2504918	1798084	1929473	1406617	13330	1800444	620162	2624	977110	11611805	2065533	2371	25987	30707	479	45743	81958	2457	18950	130886	356742	921409	19208	457116	167575	16757	191995	108821	2542	899478	402428	438044	1371175	925642	2275134	745992	193494	30347	227150	337268	661469	525585	491152	414506	79050	306378	1810	38344	251272	467644	2676504	243529	1536	2738	469323	5606068	97968	3715483	232062	1836347	3139	233783	1546343	5797	242985	1568692	6944	167149	486199	140503	252637
More developed regions	92331345	170930	496881	903755	1115	4140	186434	850	19724	249154	658834	5372	285006	456653	1039056	27848	4278	246393	84430	1575234	349143	37956	15561	42477	554	58091	1366575	3258	513533	330	8190	167835	9761	6262	94714	252840	64720	997287	3284	709	9571	4051	15545	208432	2070328	567000	16524	511195	19590	61780	16959	64556	61965	701737	870525	44828	152213	325102	14426	80791	199904	3924	25610	580416	269740	316254	702020	8633	38747	126099	133875	10011	740	103282	284726	954836	57	489	9278	18446	819726	2579613	175581	10066	898346	10912	36127	261	39	376607	19764	24051	263672	403002	27	205995	377942	21365	1670527	325210	611925	255974	856450	9003	178627	2788267	701785	485535	78690	3189069	181918	1267	30172	518216	271217	216264	390142	525	34531	28187	2850	318005	29487	45547	12550	216028	418	53995	109599	3775	308	14095	102988		6899277	5020	4433	26664	145688	9316	1545840	79897	53611	2095	497	16944	675157	1419	399070	209744	3777	229452	5500	280	139114	2076	610672	16	102493	2714	18739	357435	1715225	1628911	1570339	1384732	1890	1579822	567570	130	817945	7114219	9598	1933	14973	17652	418	27286	65165	2417	9183	36556	141931	917952	18584	34184	103236	15991	191364	106736	1464	122753	295471	1	933125	345065	38208	33643	172759	1101	215254	301433	152049	459547	398010	278760	7649	25653	1648	35557	235924	418753	2559789	232533	240	1584	77846	4853654	13881	3382127	66313	894183	134	62991	1177383	1222	163236	1376976	451	243	24609	31273	61583
Less developed regions	68368683	3454641	3472	61407	1523	53	481844	1717	7953	232047	243645	5376	58809	33813	674195	1842	21686	5178237	5493	164395	26863	4026	257320	126	117318	224915	7534	20046	236937	3912	26862	485287	1203901	537646	13040	164559	71441	70514	1604	94	39516	262920	83	287064	2875048	52848	81569	704991	31694	49314	53	20928	390610	3734	64852	3873	11058	8622	38394	448341	8613	3013	19552	94216	55846	1174948	231105	32984	286525	3562	686615	2	24	3216	4094	374431	3170	3259	7194	19810	134544	700953	253465	69	118821	455	17967	6619	1578	80775	345708	43014	32404	260470	12	40831	26065	98	5563255	1627111	135884	1072730	7769		110682	477772	18055	171475	260503	106533	85166	2970	66738	31841	275649	12783	140929	137304	514185	49049	173	24484	375	20995	126484	647489	1269	735130	239	384	12294	137268	8402	3937	49281	7126	286	829	238	2276	191730	729166	857814	26107	1012	839080	62475	3187	17940	228599	161936	291247	75	2375	12246	11785	2732863	2830	30853	1253	317222	150669	789693	169173	359134	21885	11440	220622	52592	2494	159165	4497586	2055935	438	11014	13055	61	18457	16793	40	9767	94330	214811	3457	624	422932	64339	766	631	2085	1078	776725	106957	438043	438050	580577	2236926	712349	20735	29246	11896	35835	509420	66038	93142	135746	71401	280725	162	2787	15348	48891	116715	10996	1296	1154	391477	752414	84087	333356	165749	942164	3005	170792	368960	4575	79749	191716	6493	166906	461590	109230	191054
Least developed countries	11708074			6042			419422			612			1596	227			10375	2323			990		48809		107664			440	6549				45381	535501	12660	14552	36257	2227			27532	144876		392	224606	142		975	7760	36324		322	382398		1578		8		110	320367	195	1901		2832		31191		342	274968		533266			706		41586			5775	13595		4213	74083		40						206666	40950							616867	89159		5222	9			2678		10155			73120	1032	30		59872		7334	5288	468696	3885				10701	39772	126750		215623				123394	151		361						3886	124783	228551	1372	988	11808	586	289	507		62234	113287			7022		27038			1148		413	971		14815	1819		423		948		1452	2044037						17		3742	2307	168476		286	418800	9285			42	65	610895	47708	373927	2014	174	3497	387777		113	1122	794	2485	36733		51656		41188		25		236	8			339	147965	96	66	23186	87937	40811		337	1836	9	2954	87095			325	65010	79782
Less developed regions, excluding least developed countries	56660609	3454641	3472	55365	1523	53	62422	1717	7953	231435	243645	5376	57213	33586	674195	1842	11311	5175914	5493	164395	25873	4026	208511	126	9654	224915	7534	19606	230388	3912	26862	485287	1158520	2145	380	150007	35184	68287	1604	94	11984	118044	83	286672	2650442	52706	81569	704016	23934	12990	53	20606	8212	3734	63274	3873	11050	8622	38284	127974	8418	1112	19552	91384	55846	1143757	231105	32642	11557	3562	153349	2	24	2510	4094	332845	3170	3259	1419	6215	134544	696740	179382	69	118781	455	17967	6619	1578	80775	139042	2064	32404	260470	12	40831	26065	98	4946388	1537952	135884	1067508	7760		110682	475094	18055	161320	260503	106533	12046	1938	66708	31841	215777	12783	133595	132016	45489	45164	173	24484	375	10294	86712	520739	1269	519507	239	384	12294	13874	8251	3937	48920	7126	286	829	238	2276	187844	604383	629263	24735	24	827272	61889	2898	17433	228599	99702	177960	75	2375	5224	11785	2705825	2830	30853	105	317222	150256	788722	169173	344319	20066	11440	220199	52592	1546	159165	4496134	11898	438	11014	13055	61	18457	16776	40	6025	92023	46335	3457	338	4132	55054	766	631	2043	1013	165830	59249	64116	436036	580403	2233429	324572	20735	29133	10774	35041	506935	29305	93142	84090	71401	239537	162	2762	15348	48655	116707	10996	1296	815	243512	752318	84021	310170	77812	901353	3005	170455	367124	4566	76795	104621	6493	166906	461265	44220	111272
High-income countries	86645274	329491	436611	929204	103	4150	185991	1677	25288	336254	90901	5871	299131	452016	43542	28708	5430	1241703	87655	373252	352943	38232	15232	42546	551	66759	586533	3060	536424	3210	8192	153674	9189	6103	94664	253223	64125	1021887	3794	726	9450	15361	15555	212756	4212157	612677	85622	523421	19578	61354	16961	65720	61874	447428	889572	45945	151465	308985	5301	81039	198543	3924	36943	637177	275623	1070427	702757	8603	47450	45717	252977	10013	744	103319	281895	1025603	63	3660	9278	18443	109594	2458034	175389	10070	855887	10916	52829	320	1486	377310	19363	23744	277046	423717	39	207449	364096	21305	4017891	1377879	657241	365500	857253	9003	171751	2796243	715172	508531	245212	309861	181784	1265	56031	24491	271738	92489	464645	536	34536	47425	2851	199979	29334	45698	12546	701754	295	53877	108957	4045	318	14099	103130	1	6905076	12025	4220	4430	71436	11313	1715010	79817	155792	2004	500	215152	686645	3339	403001	210912	3775	232259	5504	2277	138088	2065	1637865	2500	104620	2716	20743	380671	2320575	1686249	1573985	1390460	2093	1587777	75579	131	939419	2016707	9432	2097	23691	26386	420	44507	65163	2383	9195	56364	141839	878048	18587	34187	112086	16318	183852	68018	1464	128212	307195	6434	978063	649613	68035	299601	173786	1101	215740	302860	492854	13163	340647	316641	7649	25664	1648	35692	241912	460896	2583390	25697	1530	1547	77770	1108547	70107	3467051	66140	1269397	1864	69219	81889	5082	172212	1350273	6930	129	458210	30978	61423
Middle-income countries	64413423	3296080	63742	31159	2535	43	204422	539	1582	144335	811578	1138	44411	38223	1669709	891	20534	4182215	1972	1366377	21687	3750	209364	57	9657	216247	787576	17212	204959	158	26860	499448	1159092	2565	7920	164176	36165	43152	1094	77	30376	236605	73	282306	684208	6948	12471	690149	2840	14349	51	19442	8495	258043	43024	446	11798	24739	47462	188217	9800	1112	552	23344	49963	420710	230368	32958	242873	83944	548617		20	3066	6925	113480	931		1722	6218	844676	818434	180160	65	161240	451	1255	179	131	80072	141981	2930	15137	213193		39377	39911	158	2685763	573415	90568	963204	6957		117558	466781	3447	147780	93981	2985741	18749	2972	40879	525566	274218	136558	58392	132005	45484	28497	172	142510	528	864	31197	161625	1392	562321	881	114	432	13557	5928		43100	121	499	23063	74490	105	19000	341637	755633	25704	1009	640872	43271	290	11424	227431	99848	198978	61	378	13268	11796	1683762	346	28726	1240	315218	126469	182899	111835	345927	14290	11237	207234	544583	561	37691	9593684	14464	242	294	1091	59	1121	16649	74	9630	72506	82052	43361	335	4129	55489	150	8143	40761	1078	304702	40159	57683	391150	275805	2207099	78391	2146	29177	10301	33508	168322	475689	150505	97565	71401	239637	162	2573	9260	6748	93106	217832	6	1114	301878	4497425	27861	223003	84257	555265	920	164227	1462618	550	66872	217720	14	167020	27900	21911	135211
Upper-middle-income countries	33181319	2056340	63077	5336	2518	42	41871	539	1536	118016	749107	1124	20386	37125	978052	856	1267	47841	1918	955688	19592	1706	19933	56	19	215817	787346	16816	185340	158	2972	496888	3278	2091	107	105094	21220	33372	1077	9	216	2558	73	276760	209965	6494	12471	687114	2313	12023	51	12014	2676	257894	40739	308	11597	24092	43822	16462	8979	865	549	23063	48630	140771	42961	32112	2313	70831	4114		20	1024	6346	69758	917		282	139	730815	771054	7551	57	156598	190	1253	179	4	68449	2364	541	15133	213111		12006	38915	155	99491	459601	70138	907163	6616		14915	456518	3379	121123	28565	2616397	6508	1992	9450	470783	206630	112929	45879	131890	194	5419	170	109924	515	822	18747	14095	160	21048	877		432	529	4473		22329	121	439	23017	74490	105	8227	322499	447497	24437	21	37307	40860		7832	144298	311	24078	20	285	5927	1623	31764		27365	79	312894	117229	173097	100405	337000	13952	1051	195537	358272	561	32560	3203356	2266	242	293	1091	59	1121	16635	74	2902	31635	14105	43307	319	614	35149	111	8057	40757	682	49990	23434	3402	383394	25919	718567	36832	2108	29133	9421	30682	89128	425735	150221	40724		8493	162	2499	9251	3259	84532	183529	6	775	4075	4076557	4078	167553	4695	443593	860	163545	1228995	385	65794	89637	14	167020	19686	20725	111396
Lower-middle-income countries	31232104	1239740	665	25823	17	1	162551		46	26319	62471	14	24025	1098	691657	35	19267	4134374	54	410689	2095	2044	189431	1	9638	430	230	396	19619		23888	2560	1155814	474	7813	59082	14945	9780	17	68	30160	234047		5546	474243	454		3035	527	2326		7428	5819	149	2285	138	201	647	3640	171755	821	247	3	281	1333	279939	187407	846	240560	13113	544503			2042	579	43722	14		1440	6079	113861	47380	172609	8	4642	261	2		127	11623	139617	2389	4	82		27371	996	3	2586272	113814	20430	56041	341		102643	10263	68	26657	65416	369344	12241	980	31429	54783	67588	23629	12513	115	45290	23078	2	32586	13	42	12450	147530	1232	541273	4	114		13028	1455		20771		60	46			10773	19138	308136	1267	988	603565	2411	290	3592	83133	99537	174900	41	93	7341	10173	1651998	346	1361	1161	2324	9240	9802	11430	8927	338	10186	11697	186311		5131	6390328	12198		1				14		6728	40871	67947	54	16	3515	20340	39	86	4	396	254712	16725	54281	7756	249886	1488532	41559	38	44	880	2826	79194	49954	284	56841	71401	231144		74	9	3489	8574	34303		339	297803	420868	23783	55450	79562	111672	60	682	233623	165	1078	128083			8214	1186	23815
Low-income countries	9287911			4493			277865			548			125	227				712			931		48285		107664			3032	1985				45381	535240	5170		35871	2096			9261	15005		392	47659	102		975	7760	35391		322	382206		1486		8		57	259876	174	1901		2832		65		56	34949		18896					40932			5472	13595		3931	73497		40						203578	39810							529996	904			9			2599		540			66551						7221	5288	468696	1314				10701	95291	138		172712				123394	151		361						3560	387609		494			538				62090	89462					21908					620	1444		8166	1819		5433		948		1414	2041637								125	2016	131845		286	418800				42		466564	55001	373927	1932	224		368000		69	1109	781	34	36733		300		41077					8				89675	96		23646	81665	10146		337	1836		2954	699			89	87614	56003
