Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	220019266	4989209	1129071	1630181	1975	7120	624284	2295	41245	943685	921753	14343	484511	515071	1177772	35808	53756	6742845	94943	1469332	491812	57314	528120	15848	86162	781490	1575669	47041	1531491	4517	45420	1127247	1387884	281111	152986	952002	278383	1268970	8576	1238	238620	198851	18133	565682	8648885	959608	130803	2518915	108558	195519	20567	136721	782050	861928	1310867	68289	163040	796724	103496	1226680	237154	13531	73292	1187731	1153899	2611995	1337703	78268	278086	161840	623562	12970	1025	184310	294562	1951895	4067	1200	59450	79505	810934	3850095	716044	11637	797195	16335	63336	10037	2171	924525	401766	92400	438888	1119612	181	587662	527760	33848	13321332	3486506	1003210	2639101	780843	10295	334209	2612413	999819	757067	597512	3811293	407446	4279	181048	728622	1197101	306309	703015	243782	264173	127168	3428	483907	54335	157849	275237	1606627	2769	851520	98411	6467	14793	113363	153279	6365	12413085	19407	26460	58362	131352	16287	2766342	587849	2483980	99897	2160	1374835	888708	5737	663434	610957	311263	985865	5351	2617	183332	20623	5006753	2615	139835	4193	764182	1329786	4704919	3855177	1942186	1733923	22327	2301193	833211	2789	3274229	10213313	329189	3423	35314	50634	388	55629	104774	2264	30810	213553	537339	846196	32608	135569	281938	23346	294714	124470	3351	1578233	740273	403896	1099465	1432671	3342282	1197225	260509	68700	300113	626318	1079749	581539	465416	766543	34975	383473	2158	51812	351329	599051	2695109	237009	1724	3276	702606	5458664	122872	4461711	267834	2654409	3240	335034	1900634	7941	556641	2354845	7461	144296	879636	213589	813942
More developed regions	130683517	381448	1124542	1547975	304	7060	209740	724	33129	634745	723485	9314	399794	481512	908129	34416	9871	600133	89982	1334332	458436	52174	29192	15654	5427	338573	1572482	5512	1227940	451	12871	619400	25548	25216	135105	292419	177449	1156414	4402	1140	17206	9836	18008	310845	4635798	640763	21056	1262617	34431	95984	20512	109502	158202	858047	1239560	60529	147838	789169	34187	180565	224657	8888	52571	1067776	1068457	496468	1274701	22907	102353	158866	300358	12969	987	181583	288954	1419490	70	693	23456	62111	692155	3175891	368755	11556	685488	15872	52819	430	61	850828	82390	38609	381946	727240	180	531096	508095	33181	3813744	397439	898677	639649	765481	10293	250821	2302558	966935	572277	116135	3733843	299186	1962	68641	696717	276114	299172	488287	1383	92539	80559	3328	470813	53997	123071	19049	329908	969	102158	97956	6089	510	30556	138566		12350531	6939	25974	37865	131071	13381	2575481	75755	122101	5752	683	151860	797051	1671	639029	283025	9856	617441	5307	49	161097	6643	1276824	207	118827	3350	129394	891437	3184197	3737054	1683028	1711261	6691	2018709	802792	509	3137946	6391967	25820	2639	23835	37586	286	40791	88144	2213	17415	108027	300735	838657	31234	77026	154742	21578	293314	123045	2294	366534	607701	2	803279	653609	53320	118081	226551	2939	286063	590311	229560	525002	320757	569849	14433	49432	2026	48793	335238	559210	2535963	221625	257	2158	119425	4807447	46785	4000542	101107	1099254	166	174399	1461999	2245	452683	2052908	1	371	61628	62379	224774
Less developed regions	89335749	4607761	4529	82206	1671	60	414544	1571	8116	308940	198268	5029	84717	33559	269643	1392	43885	6142712	4961	135000	33376	5140	498928	194	80735	442917	3187	41529	303551	4066	32549	507847	1362336	255895	17881	659583	100934	112556	4174	98	221414	189015	125	254837	4013087	318845	109747	1256298	74127	99535	55	27219	623848	3881	71307	7760	15202	7555	69309	1046115	12497	4643	20721	119955	85442	2115527	63002	55361	175733	2974	323204	1	38	2727	5608	532405	3997	507	35994	17394	118779	674204	347289	81	111707	463	10517	9607	2110	73697	319376	53791	56942	392372	1	56566	19665	667	9507588	3089067	104533	1999452	15362	2	83388	309855	32884	184790	481377	77450	108260	2317	112407	31905	920987	7137	214728	242399	171634	46609	100	13094	338	34778	256188	1276719	1800	749362	455	378	14283	82807	14713	6365	62554	12468	486	20497	281	2906	190861	512094	2361879	94145	1477	1222975	91657	4066	24405	327932	301407	368424	44	2568	22235	13980	3729929	2408	21008	843	634788	438349	1520722	118123	259158	22662	15636	282484	30419	2280	136283	3821346	303369	784	11479	13048	102	14838	16630	51	13395	105526	236604	7539	1374	58543	127196	1768	1400	1425	1057	1211699	132572	403894	296186	779062	3288962	1079144	33958	65761	14050	36007	850189	56537	144659	196694	20542	334041	132	3019	16091	39841	159146	15384	1467	1118	583181	651217	76087	461169	166727	1555155	3074	160635	438635	5696	103958	301937	7460	143925	818008	151210	589168
Least developed countries	9994197			10012			299519			922			1996	337			28471	1639			740		98206		73598			1160	15145				62747	245274	16150	20850	36491	2555			98725	90068		613	235271	129		1523	10632	66988		504	593578		4198		8		205	746327	220	3025		4426		31015		260	146396		97582			868		56269			32254	17179		4463	111793		43						218894	46445							588852	149614	10	10576	12			3437		14099			88726	316	31		83505		4049	7688	47773	3225				9689	95871	205358		203270				69817	187		563						4214	85780	235358	1972	1446	34037	373	278	634		146659	133270			13509		55478			666		646	1078		16768	2843		875		857		1445	273237						18		6657	1764	178888		355	51725	9535			49	113	656118	28649	330906	3610	124	3952	523264		122	261	913	2976	23991		47064		74572		29		247	8			288	249321	25	68	37815	115158	55142		527	1199	71	4616	81474			358	59408	79972
Less developed regions, excluding least developed countries	79341552	4607761	4529	72194	1671	60	115025	1571	8116	308018	198268	5029	82721	33222	269643	1392	15414	6141073	4961	135000	32636	5140	400722	194	7137	442917	3187	40369	288406	4066	32549	507847	1299589	10621	1731	638733	64443	110001	4174	98	122689	98947	125	254224	3777816	318716	109747	1254775	63495	32547	55	26715	30270	3881	67109	7760	15194	7555	69104	299788	12277	1618	20721	115529	85442	2084512	63002	55101	29337	2974	225622	1	38	1859	5608	476136	3997	507	3740	215	118779	669741	235496	81	111664	463	10517	9607	2110	73697	100482	7346	56942	392372	1	56566	19665	667	8918736	2939453	104523	1988876	15350	2	83388	306418	32884	170691	481377	77450	19534	2001	112376	31905	837482	7137	210679	234711	123861	43384	100	13094	338	25089	160317	1071361	1800	546092	455	378	14283	12990	14526	6365	61991	12468	486	20497	281	2906	186647	426314	2126521	92173	31	1188938	91284	3788	23771	327932	154748	235154	44	2568	8726	13980	3674451	2408	21008	177	634788	437703	1519644	118123	242390	19819	15636	281609	30419	1423	136283	3819901	30132	784	11479	13048	102	14838	16612	51	6738	103762	57716	7539	1019	6818	117661	1768	1400	1376	944	555581	103923	72988	292576	778938	3285010	555880	33958	65639	13789	35094	847213	32546	144659	149630	20542	259469	132	2990	16091	39594	159138	15384	1467	830	333860	651192	76019	423354	51569	1500013	3074	160108	437436	5625	99342	220463	7460	143925	817650	91802	509196
High-income countries	141789049	667254	1049901	1592508	261	7065	209267	2063	39547	768778	152817	12623	426539	470566	69526	34803	13558	3024799	92554	357924	462749	52571	29079	15764	5401	366235	783550	5484	1259123	4123	12875	612950	25102	25079	135054	303869	177175	1202283	7396	1160	17134	16386	18023	316259	7967157	718420	109601	1300086	34345	95414	20513	110475	158095	539493	1254090	64261	146662	775574	23709	181289	225927	8890	67089	1154218	1091274	2279466	1276242	22806	126550	87924	495976	12970	989	181624	285560	1534330	76	1051	23448	62102	201580	3016668	368569	11556	668444	15872	62061	2560	1135	851503	82180	38478	410607	769446	181	533148	493987	33031	10426262	2211401	945163	711959	766670	10293	242403	2289376	995921	606966	485545	937223	299252	1957	139073	88430	276768	185866	639940	1390	92537	96579	3327	363816	53755	123719	19032	1363628	957	102141	97859	6372	619	30554	139011	1	12357713	19175	25931	37050	38835	15838	2743200	75662	292849	5639	685	567982	819921	3908	646885	283810	9871	637109	5310	2469	160434	6661	3707972	2276	119922	3349	131107	1048350	4587397	3761139	1685280	1720979	9525	2024942	319193	511	3229291	2470522	25776	2843	33904	45717	287	53989	88138	2164	17422	117560	300666	740948	31244	77031	165941	22726	286765	88413	2294	379818	638052	17192	819385	1208826	124888	611962	230137	2949	285441	589317	821416	33952	254072	661302	14433	49444	2025	48959	340848	589984	2574324	13359	1688	1573	119399	1644466	92695	4143014	101057	1516770	1968	181836	141792	7165	464799	2129472	7450	343	842447	61958	225011
Middle-income countries	70204762	4321955	79170	28888	1714	55	153008	207	1566	174024	768936	1056	57349	44168	1108246	986	40198	3717516	2332	1111408	27681	4743	401384	84	7163	415255	792119	37716	252865	338	32545	514297	1300035	14001	10813	648133	65351	63332	1180	78	138825	163676	110	248629	629318	241024	21202	1216789	4918	42460	54	25742	30943	322435	52649	411	16370	21150	79629	371627	11043	1616	696	26209	62625	327198	61461	55367	138245	73916	116003		36	2503	9002	149584	1099		4100	224	609354	829007	236150	81	128708	463	1275	174	1036	73022	103238	7801	24324	317897		54514	33773	817	2414041	1273782	58047	1927142	14161	2	91806	319122	3118	149215	111967	2874070	22818	2322	41975	640192	919537	120443	58842	234704	123863	29203	101	120091	580	3001	70556	242821	1812	554348	552	95	648	12521	9188		54809	232	529	21312	92517	183	19269	310266	2191131	93645	1475	806853	65818	278	13857	327147	154883	232208	25	148	22896	13962	1246784	339	19913	827	633075	279897	114866	94038	251238	10092	12802	270706	514018	287	44938	7741307	38509	285	431	1313	101	1600	16442	100	13267	94533	94794	105248	1009	6813	115997	168	7949	36008	1057	820894	65295	258746	276539	223665	3217394	85169	4469	65665	14433	35896	257883	523596	211344	104730	20542	259619	133	2737	10433	9067	120777	223650	36	1588	336555	3814173	30177	299284	57620	1125004	893	152671	1757643	568	86804	224691	11	143953	37071	62169	526133
Upper-middle-income countries	39705036	2390276	78932	6671	1693	55	81856	207	1439	135811	700478	992	29848	42554	850567	894	1248	393417	2294	821681	24877	2562	31195	84	40	414887	791914	36638	214829	338	5984	511952	4669	6277	1263	625317	33263	48046	1162	14	336	3583	110	243628	265676	240528	21202	1211417	4064	28666	54	13127	4034	322246	48516	259	15743	20663	69642	37758	9896	1267	693	25785	60606	144233	35891	51324	3084	62934	4998		36	1427	8417	95187	1081		515	119	513975	792916	10790	72	125571	117	1275	174	5	59422	3319	1370	24320	317781		24292	31806	762	229129	1078377	43137	315732	13379		19154	300855	3064	98308	35745	2611806	16791	2039	11969	596414	829678	99799	42133	234506	684	6836	101	92550	571	2958	57020	17350	105	32932	548	1	648	519	8881		27627	232	452	21169	92515	183	10350	297134	1890986	91968	29	206882	56455		10559	306577	378	35421	24	71	8334	1826	78338	20	18465	101	629307	268966	98523	86009	236866	9715	1321	228185	360343	287	41763	3069253	4600	285	431	1313	101	1600	16420	100	5082	44468	21720	105099	964	806	78688	125	7818	36000	725	121351	40971	1956	257870	33236	827065	22219	4346	65629	12773	31741	82945	479622	211019	25892	49	13557	133	2666	10429	4377	111129	197973	36	1300	6039	3568230	3468	216146	12323	975055	800	151955	1517583	399	85339	129518	11	143953	24600	61092	508924
Lower-middle-income countries	30499726	1931679	238	22217	21		71152		127	38213	68458	64	27501	1614	257679	92	38950	3324099	38	289727	2804	2181	370189		7123	368	205	1078	38036		26561	2345	1295366	7724	9550	22816	32088	15286	18	64	138489	160093		5001	363642	496		5372	854	13794		12615	26909	189	4133	152	627	487	9987	333869	1147	349	3	424	2019	182965	25570	4043	135161	10982	111005			1076	585	54397	18		3585	105	95379	36091	225360	9	3137	346			1031	13600	99919	6431	4	116		30222	1967	55	2184912	195405	14910	1611410	782	2	72652	18267	54	50907	76222	262264	6027	283	30006	43778	89859	20644	16709	198	123179	22367		27541	9	43	13536	225471	1707	521416	4	94		12002	307		27182		77	143	2		8919	13132	300145	1677	1446	599971	9363	278	3298	20570	154505	196787	1	77	14562	12136	1168446	319	1448	726	3768	10931	16343	8029	14372	377	11481	42521	153675		3175	4672054	33909						22		8185	50065	73074	149	45	6007	37309	43	131	8	332	699543	24324	256790	18669	190429	2390329	62950	123	36	1660	4155	174938	43974	325	78838	20493	246062		71	4	4690	9648	25677		288	330516	245943	26709	83138	45297	149949	93	716	240060	169	1465	95173			12471	1077	17209
Low-income countries	7545206			8385			262009			856			195	337				530			680		97657		73598			3841	3231				62747	242031	7119		35857	2524			82661	18789		613	51212	149		1523	10632	57645		504	593012		4088		8		158	673764	184	3025		4426		5331		95	13291		11583					55355			31902	17179		4117	111325		43						215520	45247							480828	1284			12			3354		860			85376						3931	7688	47773	1386				9689	185649	178		194707				69817	187		563						3873	201921		613			321				146509	116548					51997					1120	2656		5176	2843		5545		857		1484	264904								121	1460	140365		355	51725				49		377521	36825	127958	3526	180		500094		86	239	890	15	23991		511		74410					8				246652	25		17066	109157	10970		527	1199		4616	682			118	89462	62798
