Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	257715425	4826464	1148144	1792712	2037	7653	632699	2336	50234	977209	951023	17525	541616	586161	1155381	41684	57749	7499919	98467	1484875	562626	63233	627997	16496	43970	820722	1659852	80103	1612860	4674	45458	1291630	1472712	435630	226786	1064840	333316	1359585	9294	1281	724669	246960	16742	631832	9962058	1066633	144341	2736230	116574	254824	22249	143465	832581	916824	1558312	9339	163734	962153	111055	1661988	262255	15823	71483	1443030	1131427	3412957	1559924	95714	607917	199422	800879	16064	954	215120	294631	2207213	4394	1345	66898	87532	838082	4208083	857603	10964	933115	20077	67183	10628	2165	1117355	426010	97890	488324	1281394	183	722430	636782	41352	16587720	4233973	1170491	1679040	802084	9063	350484	3029168	1112151	831868	744582	4074446	501204	4903	207920	760134	1313365	374002	822300	326612	260155	158795	4061	596856	62054	172130	342826	1855615	2883	1066120	105006	7504	13781	120433	167121	6698	12964882	20754	28983	67549	137589	16921	2898721	653251	2894741	190132	2380	1738442	1015302	6352	834433	658203	362955	1255425	5525	2700	196814	20688	5978635	2598	149220	4400	873410	1475532	5680682	4701465	2266735	1928662	24025	2477575	973618	3194	3578504	10635994	568848	3592	38264	54839	445	60857	117511	2342	82358	278912	559952	956455	36318	159017	327043	25375	356310	143500	3913	1988458	898407	1752014	1345862	1726900	3803893	1951705	275716	91621	348040	676687	6864445	578529	534720	902928	38951	454396	2324	60258	373527	767155	3418932	243202	1912	3546	739667	5941653	143150	4921309	324394	3016685	3361	358723	1991941	8785	657439	2727398	8058	193687	1190005	275089	1025204
AFRICA	24650223	721	698	47890		5	388969		4774	4373	475		14500	10826	35	71	1683	14521	57	1435	17309	1	595649	97	2	272	730	74386	6832	35	100	6587	1445229	408236	72256	8	122078	15679			705565	228601		1166	61761	2688		3581	78809	149391		114	655773	1765	5571		8203	3550	1941	1456330	6078	5732	12	1	12	53811	926	74652	421337	262	157706			76	2227	253464			41737	18547		126018	413459	96	19055					157	334698	55082	92	24		289	470	51	103992	19738	1749	90368	20934		8213	58629	319	5701	28141	1019	142980	2	15224	118	51	714	26677	325149	155553	25133	3	662	85	36530	324330	13186	157	962004	561	5		90194	22026	6606	535	2	400	14			18866	565571	367	183751	52	409	38029		5324	182	351985	503974	31	42	2807	2292	24213	8	96	111	195	337	8983	17529	147245		1821	4669	61	1402	3538	26337	538272	371	42			29	27		62463	50628	239573	6402	2014	63454	2318		753	73	11	1264793	149313	1726741	11040	5962	452091	1130483		88407	2341	6346	210052	815	310	5727	8	398633		944	42	7638	5371	286			597859	7609	3874	163471	192844	50170	72	188	490		528	269		193248	38322	201211	780554
Eastern Africa	7591799						40763						327					8795			844							4416						354988	7506		254	983			4580	5190			7354	23			72503	50316					43				217	936483	254	3910				5322			227932		77578					107914						2004	182		59														43719	142			50			1544		409			108602							8862		153				35113	216822	61	38	430					5923	6606								170142		1494		176	312					4210					3403						712		4897			254		850		592	197307										148		569							1096039	41974	1413710	138	1735		703303		104		105				241											579305			14217	172428	3985									8567	90848	84887
BDI	299569																				625																																							173417																312																																			1066																																																														66530																																												921				28951												
COM	12555																																																																											482																																			76													9651																																														850																																																			145												
DJI	116089																																																																						12732																																																																																																																									96137																																							273		
ERI	16041						348																											1052											135				193											1698											108					438																							119												353														776																	1113																															469																			2472	122	1499				209																			1533			56	529											242	326
ETH	1227143																																	42																										107		3910							217472																																																																																																								158																			467508		417150				41734																			230														153		
KEN	1078572																																	4321																										11231									2115		36692																																																																							597		67																													6296																			485864	111	91862				7573																			332008				39721												
MDG	33844																																												2088				11557																											9443																							1668																																																																																																																																						
MWI	237104																																	8402																11605										2250																																							2434																																											55184																															6697																			54	8325																											1486	9682											43144	37432
MUS	28713																	8364			118																	36							2964	23																														1511						136																	8689				50			146		9																2287		61																															187															49													124								624		27	1131						105																		456		49											
MYT	74399																																																57795																											9712																																																5347																																																																																																													
MOZ	246954																																		7506																									2588																																							2696																			8685							85839																																1420								4897																												9856																												8476											6583	28169
REU	129153																																																2248																											85340																																																17019									5136	6606																																																																																																			
RWA	443088																																	64729																										231438																																																			2590																																																																																																										92521				42927												
SYC	12926												51					222			38																								515										43																					241						85																	6550	142						123					413													809			38						559													176						137					24						712									97																				64	257		24	604										241											28			293													
SOM	44868																																																																				35		13732																																																																																																																																																																8141		
SSD	845239																																								4580	5190																		87871						5151			3322		12802																												1415												9570									153								203																								3541																																														563135																			145799																
UGA	1692120																	209			63													64092				388							597														217	298749	254								4988		1512					363						340			59														5745							590		296			61501																															42					312										976											254				446	108638																			40404		903199	87			90652																						1754	35789	1404											
TZA	492574						1488																					168						208949				350											710	29814										105174																						1152																	9546							685					32472							177							8231								228									17460		767													796																692												445							3536	848							104																	5788			1264		1538										10217	1015
ZMB	156982						38927						276															962						3401			254	209							1055					8897										21960						171										72						291	182																4857									104			561														14127			227														1364		660								532																					7827										148										3221																								477			1348	6208	994											17945
ZWE	403866																											3286																																																																																																	107849																	94382																																																			18610																											7560												30662	
Middle Africa	3539697			74			243222						10	22							338		53310										4725	41767	63803		81569	592			682215	101507			1170					29212			2567		544		7		108	460500	2					41		64152								42792			5194			964	4300		207						10621												10		11	622		21									2874		4624	1238								80947				3196									483	1803		6046			207				14365	134892													94368			131				2761	331542								60635		37504							46			42753	9329	1406			371544			13	157	19					18037				151	7				6637			276		2024										2092	
AGO	638499																																		62498							216								7189			274							258105																															2284																																																			1692		6046																					92793								7264								54516												42688																																							2092	
CMR	540266						2777																2608															193			285641	76601								3209										4431								3648								5016			1146			318			207						4974															551													4624									8914																			172				11415	115519																															3426																																					276		889											
CAF	88774												10	22																								202				10910															7			18733	2					41										10425																											10			71																						327																			35																									147									79									46			56					21264			13	157						9					7									596											
TCD	489690																																				34988				88338									807										289																1000			330																																									1238																															2950	2819																																														344286																																			
COG	398890						41856																15421														11469				33186	10723			937										544					172923								1605								10474			3210			587																																			1184											34426				3196																																	1462							2614	25495										13463																									2473														168											
COD	879223						197499																											41654							275050									6979																																																																																																																											298642																					9329				5994																			6637																
GNQ	221865																																				877																																							5017			281																																																																									394																													1642														1406																																						
GAB	280197			74			748														338		35281										4725	113			34235	197				3057			233					11028			2293						108	6019								58760								10860						59	4300								3363														11			21									1690											37280													483											16160																131					141								4398		20615										9										19					15555				151										371											
STP	2293						342																												1305																																	139											227																																																															111																							113																																																																				
Northern Africa	2410056	525	420	28975			27		16	235	411		1206	1337	31	14	1367	1516		1040	2656		35				395		383		65	65	62	35			849	3510			15963	89076		26	5175			54	5247	2408			1483	97			81	190	97	1509	1071	1805			11	40368	923		192439	25	74734				1082	53571				27		18186	848	9	3877					9	2134	1449					470		7628	17503	561	89985	90		667	15701		2113	28048	1019	3509		15045	59			16905		44	19377				38	27	11625	27	2749				3244			62		358	14			11908	16	11	251			2742		87		473	21718			456	2241	3096						5540	1050	43		1821	1012	59		837	15259	42									47880	5625		19	301	818		59			137725	871	303700	5333	585	451770	49795			1096	2237	209599	815	113	3926						6532	3434	286			1562	1054	3510	12390	406	19370			490		32			164924	29621	25	32
DZA	248624																																																																											550						771																		1434		7533				734			2243				1187				1215			2310						870																																														796										3900										11499					31477	1585					3053																	793		1085								164924	2349		
EGY	478310	198	113	834			27		16	235	151		442	569	31	14	378	239		262	529		35				59		123		65	65	62	35			119	597			54	313		26	723			54	856	70			216	97			81	190	97	123	284	349			11		200		2001	25	1231				234	2691				27		7276	221	9	1202					9	135	87					125		1172	2713	141	10038	90		667	3939		1086	4940	200	130		2817	59			2993		44	4725				38	27	2657	27	203				147			62		76	14			999	16	11	251			933		87		109	764			114	511	582						1032	357	43		376	281	59		228	7055	42									7712	399		19	59	135		59			19193	210		391	210	127186	33459			332	1285	174813	122	113	1013						736	843	44			81	161	673	2961	137	5688			106		32				5367	25	32
