Country	1990	1995	2000	2005	2010	2015	2017
WORLD	5330943	5751474	6145007	6542159	6958169	7383009	7550262
AFRICA	634567	722922	817566	924758	1049446	1194370	1256268
Eastern Africa	198646	226021	261114	300600	346987	399458	422036
BDI	5415	5962	6401	7423	8767	10199	10864
COM	412	475	542	612	690	777	814
DJI	590	630	718	783	851	927	957
ERI	3113	3090	3393	3969	4391	4847	5069
ETH	48087	57310	66537	76727	87703	99873	104957
KEN	23403	27346	31450	36048	41350	47236	49700
MDG	11599	13475	15767	18337	21152	24234	25571
MWI	9438	9909	11376	13040	15167	17574	18622
MUS	1056	1129	1185	1222	1248	1259	1265
MYT	95	123	150	178	209	240	253
MOZ	13248	15759	18068	20923	24221	28011	29669
REU	611	674	737	792	831	863	877
RWA	7236	5928	8026	8992	10247	11630	12208
SYC	71	77	81	89	91	94	95
SOM	7397	7705	9011	10410	12053	13908	14743
SSD	5768	5460	6701	8109	10067	11882	12576
UGA	17439	20550	24039	28544	33915	40145	42863
TZA	25460	29961	34178	39411	46099	53880	57310
ZMB	8027	9137	10531	12052	13850	16101	17094
ZWE	10183	11320	12222	12940	14086	15777	16530
Middle Africa	71331	84196	96099	111954	131351	153743	163495
AGO	12171	14269	16441	19553	23369	27859	29784
CMR	11715	13461	15274	17421	19970	22835	24054
CAF	2940	3353	3755	4128	4449	4546	4659
TCD	5957	7001	8343	10067	11887	14009	14900
COG	2440	2799	3226	3718	4387	4996	5261
COD	34615	41596	47076	54751	64523	76197	81340
GNQ	427	505	614	757	951	1175	1268
GAB	952	1086	1231	1403	1640	1930	2025
STP	114	126	139	156	175	196	204
Northern Africa	141238	158115	172559	187832	204310	225136	233604
DZA	25912	28904	31184	33288	36118	39872	41318
EGY	57412	63714	69906	76778	84108	93778	97553
LBY	4437	4949	5356	5793	6169	6235	6375
MAR	24879	27075	28850	30521	32410	34803	35740
SDN	20148	24103	27251	30912	34386	38648	40533
TUN	8233	9114	9699	10102	10640	11274	11532
ESH	217	256	314	438	480	526	553
Southern Africa	42818	48035	52286	55764	59016	63420	65143
BWA	1378	1569	1728	1856	2015	2209	2292
LSO	1604	1761	1869	1950	2041	2175	2233
NAM	1415	1655	1899	2032	2173	2426	2534
ZAF	37561	42088	45728	48821	51585	55291	56717
SWZ	861	961	1061	1106	1203	1319	1367
Western Africa	180533	206555	235508	268608	307781	352614	371990
BEN	4978	5906	6866	7982	9199	10576	11176
BFA	8811	10090	11608	13422	15605	18111	19193
CPV	342	389	435	475	502	533	546
CIV	12268	14541	16687	18336	20401	23108	24295
GMB	917	1066	1232	1444	1692	1978	2101
GHA	14628	16760	18939	21542	24512	27583	28834
GIN	6041	7871	8809	9680	10794	12092	12717
GNB	1012	1137	1243	1381	1556	1771	1861
LBR	2097	2073	2885	3261	3948	4500	4732
MLI	8465	9604	10968	12799	15075	17468	18542
MRT	2030	2327	2709	3131	3610	4182	4420
NER	8013	9477	11353	13618	16426	19897	21477
NGA	95270	108011	122352	138939	158578	181182	190886
SHN	6	5	5	4	4	4	4
SEN	7556	8747	9884	11251	12916	14977	15851
SLE	4312	4275	4564	5658	6459	7237	7557
TGO	3787	4274	4970	5683	6503	7417	7798
ASIA	3221342	3489306	3730371	3964343	4194425	4419898	4504428
Central Asia	50343	53437	55559	58738	63156	68705	70840
KAZ	16540	16035	15057	15541	16399	17750	18204
KGZ	4373	4566	4921	5075	5422	5865	6045
TJK	5284	5765	6216	6854	7642	8549	8921
TKM	3684	4208	4516	4755	5087	5565	5758
UZB	20462	22863	24849	26512	28606	30976	31911
Eastern Asia	1388798	1463529	1512378	1555012	1595829	1635150	1648165
CHN	1172445	1239940	1283199	1321623	1359755	1397029	1409517
HKG	5781	6140	6664	6828	7025	7246	7365
MAC	344	386	428	483	537	601	623
PRK	20293	21862	22929	23904	24592	25244	25491
JPN	124516	126375	127534	128336	128552	127975	127484
MNG	2184	2298	2397	2526	2713	2977	3076
KOR	42923	45299	47386	48708	49553	50594	50982
