country	year	Life Ladder	GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Confidence in government
AFG	2008	3.724	7.169	0.451	49.210	0.718	0.182	0.882	0.612
AFG	2009	4.402	7.334	0.552	49.624	0.679	0.204	0.850	0.612
AFG	2010	4.758	7.387	0.539	50.009	0.600	0.138	0.707	0.299
AFG	2011	3.832	7.415	0.521	50.367	0.496	0.175	0.731	0.307
AFG	2012	3.783	7.517	0.521	50.709	0.531	0.247	0.776	0.435
AFG	2013	3.572	7.503	0.484	51.043	0.578	0.075	0.823	0.483
AFG	2014	3.131	7.485	0.526	51.371	0.509	0.119	0.871	0.409
AFG	2015	3.983	7.466	0.529	51.694	0.389	0.095	0.881	0.261
AFG	2016	4.220	7.461	0.559	52.017	0.523	0.057	0.793	0.325
AFG	2017	2.662	7.460	0.491	52.340	0.427	-0.106	0.954	0.261
ALB	2007	4.634	9.077	0.821	66.577	0.529	-0.016	0.875	0.301
ALB	2009	5.485	9.162	0.833	67.104	0.525	-0.163	0.864	
ALB	2010	5.269	9.203	0.733	67.414	0.569	-0.178	0.726	
ALB	2011	5.867	9.231	0.759	67.730	0.487	-0.210	0.877	
ALB	2012	5.510	9.247	0.785	68.029	0.602	-0.175	0.848	0.365
ALB	2013	4.551	9.258	0.759	68.291	0.632	-0.133	0.863	0.338
ALB	2014	4.814	9.278	0.626	68.512	0.735	-0.031	0.883	0.499
ALB	2015	4.607	9.303	0.639	68.692	0.704	-0.087	0.885	0.507
ALB	2016	4.511	9.338	0.638	68.872	0.730	-0.023	0.901	0.401
ALB	2017	4.640	9.374	0.638	69.052	0.750	-0.035	0.876	0.458
DZA	2010	5.464	9.463		64.299	0.593	-0.232	0.618	
DZA	2011	5.317	9.472	0.810	64.530	0.530	-0.207	0.638	
DZA	2012	5.605	9.485	0.839	64.739	0.587	-0.199	0.690	
DZA	2014	6.355	9.509	0.818	65.130				
DZA	2016	5.341	9.541	0.749	65.510				
DZA	2017	5.249	9.540	0.807	65.699	0.437	-0.195	0.700	
AGO	2011	5.589	8.685	0.723	50.894	0.584	0.064	0.911	0.232
AGO	2012	4.360	8.699	0.753	51.522	0.456	-0.125	0.906	0.237
AGO	2013	3.937	8.730	0.722	52.042	0.410	-0.094	0.816	0.548
AGO	2014	3.795	8.742	0.755	52.461	0.375	-0.158	0.834	0.572
